keys,zh_HK,en
RESEARCH_UI_SCENE_ERROR,戰鬥切片場景無法載入。,Unable to load the combat slice.
RESEARCH_UI_RESEARCH,研究,Research
RESEARCH_RESOURCE_ANTIGEN,抗原樣本,Antigen Samples
RESEARCH_RESOURCE_PROTOMASS,一度原質,Protomass
RESEARCH_RESOURCE_FUSION_CORE,融合核心,Fusion Cores
RESEARCH_RESOURCE_BIOMASS,生物質,Biomass
RESEARCH_FAMILY_T_ROLE,精準追擊、連擊,Precision pursuit and combos
RESEARCH_FAMILY_B_ROLE,抗體生產核心,Antibody production core
RESEARCH_FAMILY_M_ROLE,吞噬、推擠、救援,Phagocytosis push and rescue
RESEARCH_FAMILY_N_ROLE,高速截擊精英,High-speed interception elite
RESEARCH_FAMILY_A_ROLE,浮游追蹤彈群,Hovering homing swarm
RESEARCH_FAMILY_D_ROLE,偵察感染區,Infection-zone reconnaissance
RESEARCH_DOMAIN_DEF,防守工程,Defense Engineering
RESEARCH_DOMAIN_EXP,遠征探索,Expedition Exploration
RESEARCH_DOMAIN_WAR,全面戰爭,Total War
RESEARCH_DOMAIN_MOB,細胞機動,Cell Mobility
RESEARCH_DOMAIN_FUS,融合工程,Fusion Engineering
RESEARCH_DOMAIN_SUR,生存修復,Survival Repair
RESEARCH_CHEMISTRY_MARK,標記,Mark
RESEARCH_CHEMISTRY_ANTIBODY,抗體,Antibody
RESEARCH_CHEMISTRY_CORROSION,腐蝕,Corrosion
RESEARCH_CHEMISTRY_SLOW,緩速,Slow
RESEARCH_CHEMISTRY_INFECTION,感染,Infection
RESEARCH_CHEMISTRY_CHAIN,鏈鎖,Chain
RESEARCH_CHEMISTRY_CRITICAL,暴擊,Critical
